"","country","currency","pop","gdp","emp","price"
"1","Aruba","Aruban Guilder",0.106314,3073.19970703125,0.0476008877158165,0.889471173286438
"2","Angola","Kwanza",31.825295,222007.515625,16.644962310791,0.441333740949631
"4","Albania","Lek",2.880917,37189.44140625,1.07589769363403,0.476494491100311
"5","United Arab Emirates","UAE Dirham",9.770529,648054.6875,5.80883407592773,0.730298459529877
"6","Argentina","Argentine Peso",44.780677,975023.875,20.6432151794434,0.480253368616104
"7","Armenia","Armenian Dram",2.957731,43237.30859375,0.966090977191925,0.350727945566177
"9","Australia","Australian Dollar",25.203198,1315581.25,12.8631744384766,1.05089521408081
"10","Austria","Euro",8.955102,476657.28125,4.55028104782104,0.947114288806915
"11","Azerbaijan","Azerbaijanian Manat",10.047718,143840.75,5.02717876434326,0.30876499414444
"12","Burundi","Burundi Franc",11.53058,9248.333984375,5.00358819961548,0.332163095474243
"13","Belgium","Euro",11.539328,534585.875,4.92193651199341,0.953680455684662
"14","Benin","CFA Franc BCEAO",11.801151,39121.8984375,4.30030059814453,0.377570629119873
"15","Burkina Faso","CFA Franc BCEAO",20.321378,41553.36328125,6.95875597000122,0.350241720676422
"16","Bangladesh","Taka",163.046161,766232.75,65.534065246582,0.377013206481934
"17","Bulgaria","Bulgarian Lev",7.000119,148140.640625,3.42041850090027,0.462458461523056
"18","Bahrain","Bahraini Dinar",1.641172,76220.1328125,0.743663609027863,0.588958144187927
"19","Bahamas","Bahamian Dollar",0.389482,12748.7900390625,0.207315564155579,1.10144329071045
"20","Bosnia and Herzegovina","Convertible Marks",3.301,45140.1484375,0.690263569355011,0.472119718790054
"21","Belarus","Belarussian Ruble",9.452411,200266.71875,4.30644178390503,0.311436802148819
"22","Belize","Belize Dollar",0.390353,2387.25146484375,0.158518478274345,0.732691705226898
"23","Bermuda","Bermudian Dollar",0.062506,3260.423828125,0.0342072956264019,1.48918771743774
"24","Bolivia (Plurinational State of)","Boliviano",11.5131,97512.0625,5.54382562637329,0.372808814048767
"25","Brazil","Brazilian Real",211.049527,3041015.25,93.9568252563477,0.603779852390289
"26","Barbados","Barbados Dollar",0.287025,3357.36840820312,0.132258623838425,1.08315443992615
"27","Brunei Darussalam","Brunei Dollar",0.433285,28357.552734375,0.222358033061028,0.497830629348755
"28","Bhutan","Ngultrum",0.763092,8912.0322265625,0.320460736751556,0.301700204610825
"29","Botswana","Pula",2.303697,38421.11328125,0.921595811843872,0.50573742389679
"30","Central African Republic","CFA Franc BEAC",4.745185,4556.30712890625,1.84432792663574,0.499336868524551
"31","Canada","Canadian Dollar",37.411047,1873625.25,19.2986621856689,0.953023493289948
